"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 10, 2016","61,668.33","61,130.24","61,756.33","61,130.24","3.03M","0.92%"
"Oct 07, 2016","61,108.98","60,645.41","61,274.57","60,478.95","4.37M","0.77%"
"Oct 06, 2016","60,644.24","60,254.34","60,723.99","60,070.31","3.62M","0.65%"
"Oct 05, 2016","60,254.34","59,340.04","60,477.30","59,340.04","3.48M","1.54%"
"Oct 04, 2016","59,339.23","59,461.22","59,579.77","58,891.86","4.02M","-0.21%"
"Oct 03, 2016","59,461.23","58,370.15","59,548.54","58,366.55","2.86M","1.87%"
"Sep 30, 2016","58,367.05","58,349.99","58,900.44","58,271.36","2.95M","0.03%"
"Sep 29, 2016","58,350.57","59,346.00","59,621.19","58,291.79","3.30M","-1.69%"
"Sep 28, 2016","59,355.77","58,382.75","59,415.41","58,353.48","3.33M","1.67%"
"Sep 27, 2016","58,382.49","58,066.44","58,490.38","57,410.72","3.04M","0.57%"
"Sep 26, 2016","58,053.53","58,697.03","58,697.03","57,904.19","2.17M","-1.10%"
"Sep 23, 2016","58,697.00","58,992.22","59,130.83","58,408.80","2.90M","-0.50%"
"Sep 22, 2016","58,994.17","58,407.63","59,462.44","58,407.63","3.47M","1.03%"
"Sep 21, 2016","58,393.92","57,736.46","58,574.60","57,326.03","4.01M","1.14%"
"Sep 20, 2016","57,736.46","57,355.59","57,902.29","57,355.59","3.09M","0.67%"
"Sep 19, 2016","57,350.38","57,082.82","58,024.87","57,082.82","2.77M","0.47%"
"Sep 16, 2016","57,079.76","57,909.49","57,909.49","56,794.11","3.83M","-1.43%"
"Sep 15, 2016","57,909.49","57,068.26","58,127.11","57,068.26","2.90M","1.49%"
"Sep 14, 2016","57,059.46","56,812.40","57,341.97","56,694.45","3.43M","0.42%"
"Sep 13, 2016","56,820.77","58,579.91","58,579.91","56,459.11","4.51M","-3.01%"
"Sep 12, 2016","58,586.11","57,998.16","58,595.09","57,511.17","3.64M","1.01%"
"Sep 09, 2016","57,999.73","60,220.18","60,220.18","57,961.41","4.12M","-3.71%"
"Sep 08, 2016","60,231.65","60,129.30","60,310.50","59,742.86","3.96M","0.17%"
"Sep 06, 2016","60,129.44","59,565.62","60,129.44","59,182.14","3.25M","0.95%"
"Sep 05, 2016","59,566.34","59,616.39","59,985.52","59,402.23","1.82M","-0.08%"
"Sep 02, 2016","59,616.40","58,240.53","59,654.66","58,240.53","3.89M","2.37%"
"Sep 01, 2016","58,236.27","57,901.45","58,416.80","57,637.80","3.80M","0.58%"
"Aug 31, 2016","57,901.11","58,579.97","58,910.43","57,506.40","4.20M","-1.15%"
"Aug 30, 2016","58,575.42","58,610.39","58,881.63","58,292.87","2.81M","-0.06%"
"Aug 29, 2016","58,610.39","57,717.18","58,957.18","57,641.51","2.85M","1.55%"
"Aug 26, 2016","57,716.25","57,724.94","58,655.21","57,259.13","3.72M","-0.01%"
"Aug 25, 2016","57,722.14","57,717.88","58,123.74","57,638.64","3.07M","0.01%"
"Aug 24, 2016","57,717.88","58,019.15","58,332.13","57,456.40","3.32M","-0.52%"
"Aug 23, 2016","58,020.03","57,781.24","58,596.37","57,781.24","3.75M","0.41%"
"Aug 22, 2016","57,781.24","59,079.71","59,098.94","57,631.38","3.23M","-2.23%"
"Aug 19, 2016","59,098.92","59,158.28","59,239.87","58,599.48","2.74M","-0.11%"
"Aug 18, 2016","59,166.02","59,323.83","59,417.88","58,828.96","3.72M","-0.27%"
"Aug 17, 2016","59,323.83","58,846.94","59,323.83","58,081.45","4.31M","0.80%"
"Aug 16, 2016","58,855.43","59,144.35","59,187.33","58,589.19","3.99M","-0.49%"
"Aug 15, 2016","59,145.98","58,316.23","59,323.91","58,316.23","3.60M","1.45%"
"Aug 12, 2016","58,298.41","58,299.57","58,753.03","57,986.92","3.93M","-0.00%"
"Aug 11, 2016","58,299.57","56,925.04","58,308.39","56,922.83","4.03M","2.42%"
"Aug 10, 2016","56,919.78","57,690.34","57,952.87","56,735.24","3.62M","-1.33%"
"Aug 09, 2016","57,689.42","57,637.48","58,094.57","57,615.15","3.14M","0.09%"
"Aug 08, 2016","57,635.43","57,655.48","57,917.06","57,504.17","3.25M","-0.04%"
"Aug 05, 2016","57,661.14","57,609.42","57,950.90","57,289.55","3.46M","0.12%"
"Aug 04, 2016","57,593.90","57,075.72","58,030.38","57,075.72","4.32M","0.91%"
"Aug 03, 2016","57,076.91","56,157.39","57,101.09","55,788.00","4.18M","1.63%"
"Aug 02, 2016","56,162.38","56,755.92","56,973.57","55,695.52","3.98M","-1.05%"
